"CODIGO","DESCRIPCIO","CODIGO_ASO","RUBRO","CODIGO_DE_","GRABADO","ALICUOTA","PROVEEDOR","COSTO","MONEDA","FECHA_ALTA","MATERIAL","ADUANA","ORIGEN","DESPACHO","BOX","TIPO","FECHA_ULT_","FECHA_ULT_","CANTIDAD_U","STOCK","UNIDAD_DE_","SUBRUBRO","UNIDADES_P","CANTIDAD_D","FORMA_DE_V","ESTADO","STOCK_MINI","STOCK_MIN2","BONIFICACI","BONIFICAC2","BONIFICAC3","BONIFICAC4","PRECIO_DE_","PRECIO_DE2","PRECIO_DE3","PRECIO_DE4","MARGEN","BASE_COSTO","PRECIO_UNI","LISTA_FORZ","LISTA_FOR2","INCLUIRLIS","COLUMNAS","LOCAL_DE_V","UNIDAD_VEN","ACTUALIZAC","MODELO","MANGA","CIERRE","TELA","COLOR","TALLE","TALLE_EN_L","PROMEDIO","MINIMO_VTA","MULTIPLO_V","BARRA_PACK"
50102,CARTERA MEDIANA,50102,1,0,TRUE,21,,7.5, $,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 103070C,,2,02/11/09,2009-11-02,71,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,28/07/06 10:42,,,,,,,,,0,0,0
53211,GONDOLA DOS BOLSILLOS,5321,1,0,TRUE,21,,7.6,$,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,,,,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:07,,,,,,,,,0,0,0
53212,GONDOLA DOS BOLSILLOS,5321,1,0,TRUE,21,,7.6, $,2005-12-22,99,12-12-05 BS AS,HONG KONG,05 001 IC 04 166995F,,2,,,,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,07/02/06 10:07,,,,,,,,,0,0,0
53291,BAGUETTE,5329,1,0,TRUE,21,,5.7, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,22/02/07,2007-02-22,600,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/02/07 15:44,,,,,,,,,0,0,0
53292,BAGUETTE,5329,1,0,TRUE,21,,5.7, $,2005-12-22,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,22/02/07,2007-02-22,400,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/02/07 15:44,,,,,,,,,0,0,0
230016,ARGOLLA CHICA CHATA,230016,3,0,TRUE,21,,2.3, $,2006-01-10,90,16-09-05 BS AS,CHINA,05 001 IC 04122609-M,,2,11/05/06,2006-05-11,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 11:39,,,,,,,,,0,0,0
233004,COSTURADO CIGARRERA,233004,3,0,TRUE,21,,1.65, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC04122609-M,,2,02/11/09,2009-11-02,5,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 11:41,,,,,,,,,0,0,0
233052,COSTURADO MONEDERO,233052,3,0,TRUE,21,,0.5, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04122609-M,,2,02/11/09,2009-11-02,9,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,22/02/06 15:21,,,,,,,,,0,0,0
290006,PICADA CORTA DOBLE,290006,3,0,TRUE,21,,2.6, $,2006-01-12,90,16-09-05  BS AS,CHINA,05 001 IC 04122609M,,2,02/11/09,2009-11-02,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 12:08,,,,,,,,,0,0,0
290017,PICADA MEDIANA,290017,3,0,TRUE,21,,2, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04 122609M,,2,,,,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 12:09,,,,,,,,,0,0,0
310052,TACHITAS MONEDERO,310052,3,0,TRUE,21,,0.5, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04122609-M,,2,03/11/09,2009-11-03,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,22/02/06 15:21,,,,,,,,,0,0,0
321004,VISTA COSTURA CIGARRERA,321004,3,0,TRUE,21,,1.8, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04122609-M,,2,03/11/09,2009-11-03,1,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 12:40,,,,,,,,,0,0,0
321014,VISTA COSTURA PORTALENTES,321014,3,0,TRUE,21,,1, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC04122609M,,2,03/11/09,2009-11-03,8,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,22/02/06 15:22,,,,,,,,,0,0,0
321105,VISTA COSTURA MONEDERO CON LLAVERO,321105,3,0,TRUE,21,,1.2, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04122609M,,2,03/11/09,2009-11-03,36,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 12:46,,,,,,,,,0,0,0
340105,VIVO FRENTE MONEDERO CON LLAVERO,340105,3,0,TRUE,21,,1.2, $,2006-01-12,90,16-09-05 BS AS,CHINA,05 001 IC 04122609M,,2,03/11/09,2009-11-03,9,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,30/01/06 12:47,,,,,,,,,0,0,0
244014,BORDADO PORTALENTES,244014,3,0,TRUE,21,,0.5, $,2006-01-12,90,20-09-04 BS AS,CHINA,04 001 IC04103084H,,2,12/06/06,2006-06-12,246,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,22/02/06 15:25,,,,,,,,,0,0,0
10011,5154 BAL TAPA,1001,1,0,TRUE,21,,9, $,2006-01-12,99,20-10-05 BS AS,HONG KONG,05 001 IC04139980W,,2,06/06/06,2006-06-06,7,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,27/01/06 11:13,,,,,,,,,0,0,0
10021,TRES DIVISIONES,1002,1,0,TRUE,21,,7.2, $,2006-01-12,99,23-11-06 BS AS,CHINA,06001IC04168232 P,,2,02/11/09,2009-11-02,24,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,21/08/06 11:31,,,,,,,,,0,0,0
10026,TRES DIVISIONES,1002,1,0,TRUE,21,,7.2, $,2006-01-12,99,28-11-05 BS AS,HONG KONG,05 001 IC04 159903T,,2,02/11/09,2009-11-02,24,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,29/03/06 11:47,,,,,,,,,0,0,0
10041,GOLFERA,1004,1,0,TRUE,21,,7.5, $,2006-01-12,99,14-06-07 BS AS,CHINA,07001 IC04091998H,,2,02/11/09,2009-11-02,37,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,15/05/07 12:33,,,,,,,,,0,0,0
10111,VINIL TRES DIVISIONES,1011,38,0,TRUE,21,,7.5, $,2006-01-12,99,17-10-08 BS AS,CHINA,08001IC04 189736 G,,2,19/07/21,2021-07-19,12,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,08/08/08 16:54,,,,,,,,,0,0,0
52011,CARTERA TAPA Y MANIJA LARGA,5201,7,0,TRUE,21,,7.2, $,2006-01-12,99,19-02-07 BS AS,CHINA,07001 IC 04027471P,,2,22/02/07,2007-02-22,600,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,29/06/12 11:29,,,,,,,,,0,0,0
213,GONDOLA MINI HEBILLA,213,0,0,TRUE,21,,4.45, $,2006-01-13,,,,,,1,31/03/11,2011-03-31,19,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:18,,,,,,,,,0,0,0
362,GOLFERA,362,0,0,TRUE,21,,4.77, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,41,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:22,,,,,,,,,0,0,0
500,GOLFERA CON VISTA,500,0,0,TRUE,21,,5.04, $,2006-01-13,,,,,,1,31/03/11,2011-03-31,2,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:26,,,,,,,,,0,0,0
501,GOLFERA PARCHE,501,0,0,TRUE,21,,5, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,132,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,23/02/06 12:04,,,,,,,,,0,0,0
502,CARTERA CON TAPA,502,0,0,TRUE,21,,7, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,40,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:26,,,,,,,,,0,0,0
504,BANDOLERA CHICA CON TAPA,504,0,0,TRUE,21,,5.25, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,116,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,23/02/06 12:05,,,,,,,,,0,0,0
505,CHATA CRUZADA,505,0,0,TRUE,21,,6.55, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,66,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:27,,,,,,,,,0,0,0
506,CILINDRO LENG�ETA TACHAS,506,0,0,TRUE,21,,6, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,75,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:27,,,,,,,,,0,0,0
507,BOLSO LENG�ETA TACHAS,507,0,0,TRUE,21,,6.75, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,66,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,23/02/06 12:06,,,,,,,,,0,0,0
508,CHATA LENG�ETA TACHAS,508,0,0,TRUE,21,,6.75, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,181,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,23/02/06 12:07,,,,,,,,,0,0,0
513,BANDOLERA CHATA,513,0,0,TRUE,21,,4.74, $,2006-01-13,,,,,,1,31/01/06,2006-01-31,18,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:32,,,,,,,,,0,0,0
514,BOLSON DOS HEBILLAS MANIJA,514,0,0,TRUE,21,,6.25, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,62,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,23/02/06 12:08,,,,,,,,,0,0,0
515,GOLFERA,515,0,0,TRUE,21,,6, $,2006-01-13,,,,,,1,02/11/09,2009-11-02,100,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:32,,,,,,,,,0,0,0
521,PLAYERO BALDE CON ARANDELES,521,0,0,TRUE,21,,6.9, $,2006-01-13,,,,,,1,31/01/06,2006-01-31,12,0,1,,1,1,2,AC,,,0,0,0,0,,,,,,,,FALSE,FALSE,TRUE,1,1,1,31/01/06 10:32,,,,,,,,,0,0,0
