CODIGO,DESCRIPCIO,"PORCENTAJE","PORCENTAJ2","PORCENTAJ3",ACTUALIZAC,"MINIMO_VTA","MULTIPLO_V"
099,TIAMBAO 2 VERANO 16,,,,03/02/17 14:51,0,0
077,CANASTOS VERANO 16,,,,03/02/17 14:51,0,0
40,TB  1 INVIERNO 2017,,,,03/02/17 14:56,0,0
123,IVONNE I INVERINO 2017,,,,03/02/17 15:21,0,0
41,TB 2 INVIERNO 2017,,,,03/02/17 16:19,0,0
134,IVONNE II INVERNO 2017,,,,06/02/17 12:46,0,0
124,SET VALIJA 2017,,,,09/02/17 11:18,0,0
125,PARAGUAS,,,,20/02/17 16:11,0,0
145,CANASTOS VERANO 17,,,,22/06/17 12:19,0,0
144,IVONE VERANO 2017,,,,26/06/17 14:31,0,0
147,TIAMBAO VERANO 2017,,,,26/06/17 15:32,0,0
127,VERANO 17 TIAMB,,,,26/06/17 15:33,0,0
789,GEGE VERANO 17,,,,30/05/18 10:53,0,0
788,CHANGE VERANO 17,,,,28/06/17 12:55,0,0
217,VALIJAS VERANO 17,,,,05/10/17 15:17,0,0
3,CHANGE INVIERNO 2018,,,,18/01/18 10:54,0,0
4,GEGE INVIERNO 2018,,,,19/01/18 16:14,0,0
044,TIANBAO INVIER 18,,,,23/01/18 15:40,0,0
150,YVONNE INVIERNO 18,,,,28/02/18 15:33,0,0
151,BILLETERAS VERANO 2018,,,,24/05/18 14:54,0,0
195,TIANBAO VERANO 2018,,,,30/05/18 11:19,0,0
196,CHANGE VERANO 2018,,,,04/06/18 14:06,0,0
197,GEGE VERANO 2018,,,,04/06/18 14:06,0,0
02,CANASTOS VERANO 2018,,,,07/06/18 12:05,0,0
148,PORTA VERANO  2018,,,,12/06/18 11:00,0,0
119,INVIERNO 19 GEGE,,,,24/01/19 14:59,0,0
120,INVIERNO 19 CHANGE,,,,24/01/19 15:01,0,0
121,INVIERNO 19 TIANBAO,,,,24/01/19 15:02,0,0
122,VALIJAS  INV 2019,,,,12/06/19 15:40,0,0
116,GEGE VERANO 2019,,,,10/07/19 12:11,0,0
117,TIAM VERANO 2019,,,,10/07/19 12:12,0,0
118,CHEIN VERANO 2019,,,,10/07/19 12:12,0,0
014,VALIJAS DIC 19,,,,16/12/19 14:24,0,0
081,GEGE INVIERNO 2020,,,,23/01/20 11:26,0,0
082,ANITA INVIERNO 2020,,,,23/01/20 15:29,0,0
128,VALIJAS 2020,,,,11/06/20 12:23,0,0
083,ANITA VERANO 2020,,,,19/06/20 11:27,0,0
084,GEGE VERANO 2020,,,,12/08/20 12:10,0,0
085,IVON INVIERNO 2021,,,,08/02/21 14:49,0,0
086,GEGE INVIERNO 2021,,,,08/02/21 14:49,0,0
074,PERSONALIZADO VER 21,,,,10/08/21 11:42,0,0
075,YVONNE VERANO 2021,,,,03/09/21 16:36,0,0
076,YVONNE 2 VERANO 21,,,,28/09/21 12:29,0,0
130,IVONNE INVIERNO  2022,,,,17/02/22 10:56,0,0
131,IVONNE 2 INVIERNO 2022,,,,17/02/22 11:00,0,0
132,PERSONALIZADO INVIERNO 2022,,,,17/02/22 11:01,0,0
133,ANITA INVIERNO-PRIMAVERA 2022,,,,12/05/22 15:09,0,0
135,BILLETERAS INVIERNO 22,,,,13/06/22 10:09,0,0
136,2022 IVON VERANO,,,,25/03/25 16:21,0,0
137,YVONNE 2 PRIM-VERANO 22,,,,24/08/22 12:06,0,0
874,VALIJAS 2022,,,,04/10/22 14:00,0,0
009,BILLETERAS  2023,,,,21/12/22 12:32,0,0
138,2023 INVIERNO TINA,,,,09/02/23 09:43,0,0
139,SAIER INVI 2023,,,,15/03/23 12:27,0,0
027,TINA PRI VER 24,,,,05/07/23 11:17,0,0
028,IVON PRIM VER 24,,,,05/07/23 11:18,0,0
029,BILLETERA 24,,,,05/07/23 11:19,0,0
039,MAYA PRIM VER 24,,,,19/07/23 14:09,0,0
042,PERSONALIZADO PRI V 2024,,,,28/08/23 15:14,0,0
110,VALIJAS 2023,,,,31/08/23 12:23,0,0
980,LUCKY MOCH Y BOLSOS,,,,11/12/23 12:06,0,0
100,INVIERNO 2024 TINA,,,,29/01/24 10:34,0,0
140,VALIJAS 2024,,,,17/04/24 15:01,0,0
201,BILLETERAS 2024,,,,28/05/24 10:52,0,0
101,30 PRIM-VERAN 2024,,,,03/07/24 09:53,0,0
102,40 PRI VER 2024 MAYA,,,,15/07/24 14:58,0,0
03,LLAVEROS,,,,19/07/24 14:11,0,0
103,(SQH 2450) SET X2 RIGIDA,,,,23/09/24 12:03,0,0
104,SET X3 TELA 2024,,,,23/09/24 12:24,0,0
04,ACCESORIOS DE VIAJE,,,,06/11/24 14:20,0,0
05,24 VALIJAS RIGIDAS,,,,14/11/24 10:38,0,0
06,2025 BILLETERAS,,,,20/11/24 15:48,0,0
105,SET X2 VALIJA TELA 2025,,,,11/12/24 14:38,0,0
160,2025 CART INVIERNO,,,,25/03/25 16:21,0,0
069,2025 VALIJAS TOCA TOCA,,,,07/02/25 11:39,0,0
163,2025 SET X 2 VALIJAS RIGIDAS,,,,24/02/25 10:58,0,0
164,2025 VALIJA TEXTIL,,,,14/03/25 10:27,0,0
165,BILLETERA HOMBRE 2025,,,,14/03/25 15:37,0,0
166,VALIJA DE NI�O 2025,,,,26/03/25 11:37,0,0
167,LANA 2025,,,,17/03/25 16:09,0,0
168,ACCSESORIOS-VIAJE 2025,,,,25/03/25 10:01,0,0
